Número atômico;Símbolo;1-Grupo;2-Grupo antigo;3-Período;4-Nome;5-Name;6-Massa atômica;7-Ponto de fusão °C;8-Ponto de ebulição °C;9-Densidade g/mL;10-Eletronegatividade;11-Primeiro potencial de ionização (eV) ;12-Segundo potencial de ionização (eV) ;13-Terceiro potencial de ionização (eV) ;14-Primeiro potencial de ionização (kJ/mol) ;15-Segundo potencial de ionização (kJ/mol) ;16-Terceiro potencial de ionização (kJ/mol) ;17-Afinidade eletrônica (eV);18-Afinidade eletrônica (kJ/mol);19-Estados comuns de oxidação;20-Íons normalmente formados;21-Configuração eletrônica prevista;22-Configuração eletrônica observada;23-Raio atômico (Å) ;24-Raio iônico (Å) ;25-Raio covalente (Å) ;26-Raio (2- ion) pm;27-Raio (1- ion) pm;28-Raio atômico (pm);29-Raio (1+ ion) pm;30-Raio (2+ ion) pm;31-Raio (3+ ion) pm;32-Volume atômico (cm^3/mol) ;33-Estrutura cristalina;34-Registro CAS;35-Condutividade elétrica (mho/cm) ;36-Calor específico (J/g K) ;37-Calor de fusão (kJ/mol) ;38-Calor de vaporização (kJ/mol) ;39-Condutividade térmica (W/(m K)) ;40-mg/kg na Crosta terrestre;41-mg/L nos oceanos;42-Porcentagem em massa no corpo humano;43-Notas;44-Fontes;45Cor;46-Características;47-Estrutura;48-Dureza (mohs);49-Usos;50-Reação com ar;51-Reação com água;52-Reação com HCl 6M;53-Reação com HNO3 15M;54-Reação com NaOH 6M;55-Hidretos;56-Óxidos;57-Cloretos;58-Polarização (A^3);59-Calor de atomização (kJ/mol);60-Ano de descoberta;61-Abundância relativa no sistema solar (log);62-Abundância relativa na crosta terrestre (log);63-Custo puro ($/100g);64-Custo contaminado ($/100g);65-Toxico?;66-Cancerígeno?;Séries químicas;Metais;Origem;Configuração eletrônica;Ultimo subnível;Estado físico;Tabela muda;Teste1;Teste2;;25
79;Au;11;I B;6;Ouro;gold;196,966569;1064;3080;19,3;2,54;9,2257;20,521;-;890;1980;-;2,31;223;+3,1;+3,1;[Xe] 6s2 4f14 5d9;[Xe] 6s2 4f14 5d9;1,79;0,85;1,34;-;-;144;151;-;99;10,2;cúbica: face centrada;7440-57-5;0,452;0,128;12,55;334,4;317;0,004;0,004;0,00001;-;Gold, gold bearing rock (misc);dourado;Inert, ductile malleable;fcc: face-centered cubic;2,75;jewelry, electronics;nenhuma;nenhuma;nenhuma;nenhuma;nenhuma;nenhum;Au2O3;AuCl AuCl3;6,1;366;-;-0,728158393;-2,4;4400;1200;-;não;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
80;Hg;12;II B;6;Mercúrio;mercury;200,592;-38,9;357;13,5;2;10,4375;18,759;34,202;1007;1810;3300;<0;<0;+2,1;+2,1;[Xe] 6s2 4f14 5d10;[Xe] 6s2 4f14 5d10;1,76;1,02;1,49;-;-;151;133;116;-;14,82;romboédrico;7439-97-6;0,0104;0,139;2,295;59,229;8,34;0,085;0,00003;-;-;Cinnabar (sulfide);prateado-branco;liquid at r.t., volatile;rhombohedral;-;amalgams, Cl2, NaOH prod.;nenhuma, w/ht (350C) =>HgO;nenhuma;nenhuma;branda, =>NOx, Hg(NO3)2;nenhuma;nenhum;HgO;Hg2Cl2 HgCl2;5,4;61;-;-0,468521083;-1,1;5;0,51;sim;não;2;3;1;3;3;2;;FALSO;VERDADEIRO;;
81;Tl;13;III A;6;Tálio;thallium;204,3835;303;1457;11,9;1,62;6,1083;20,428;29,829;589;1971;2878;0,2;19;+1,3;+1,3;[Xe] 6s2 4f14 5d10 6p1;[Xe] 6s2 4f14 5d10 6p1;2,08;1,59;1,48;-;-;170;164;-;102,5;17,2;hexagonal;7440-28-0;0,0617;0,13;4,142;164,1;46,1;0,85;0,000019;-;-;Zn/Pb smelting by-product;cinza azulado;soft;hcp: hexagonal close pkd;1,2;IR detectors, photomult.;branda, =>Tl2O;branda, =>TlOH;-;branda, =>TlNO3;-;-;Tl2O Tl2O3;TlCl TlCl3;7,6;182;1861;-0,735182177;-0,3;48;-;-;não;2;6;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
82;Pb;14;IV A;6;Chumbo;lead;207,2;327,5;1740;11,4;2,33;7,4167;15,028;31,943;716;1450;3082;0,36;35;+2,4;+2,4;[Xe] 6s2 4f14 5d10 6p2;[Xe] 6s2 4f14 5d10 6p2;1,81;1,19;1,47;-;-;146;-;133;-;18,17;cúbica: face centrada;7439-92-1;0,0481;0,13;4,799;177,7;35,3;0,14;0,00003;0,00017;-;Galena (sulfide);cinza;soft;fcc: face-centered cubic;1,5;batteries, solder, paints;branda, w/ht, =>PbO;nenhuma;nenhuma;branda, =>NOx, Pb(NO3)2;-;PbH4;PbO Pb3O4 Pb2O3 PbO2;PbCl2 PbCl4;6,8;196;-;0,498310554;1,1;1,5;0,077;-;não;2;6;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
83;Bi;15;V A;6;Bismuto;bismuth;208,9804;271;1560;9,75;2,02;7,289;16,687;25,559;703;1610;2466;0,95;92;+3,5;+3,5;[Xe] 6s2 4f14 5d10 6p3;[Xe] 6s2 4f14 5d10 6p3;1,63;1,03;1,46;-;-;150;-;-;117;21,3;romboédrico;7440-69-9;0,00867;0,12;11,3;104,8;7,87;0,0085;0,00002;-;-;Pb smelting by-product;branco;brittle;rhombohedral;2,5;antacid, fusible alloy;branda, w/ht =>Bi2O3;nenhuma;nenhuma;branda, =>Bi(NO3)3, NOx;-;BiH3;Bi2O3;BiCl3 BiCl4;7,4;207;1600;-0,841637508;-0,8;11;-;-;-;2;6;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
84;Po;16;VI A;6;Polônio;polonium;209;254;962;9,32;2;8,4167;-;-;812;-;-;1,9;183;+4,2;+4,2;[Xe] 6s2 4f14 5d10 6p4;[Xe] 6s2 4f14 5d10 6p4;1,53;-;1,46;-;-;168;-;-;-;22,23;monoclínico;7440-08-6;0,0219;0,12;-;-;20;2E-10;1,4E-14;-;-;pitchblende, Sintético;azul;"radioativo; 2 forms";special: simple cubic;-;thermoelectric power;branda, =>PoO2;nenhuma;branda, =>PoCl2;-;-;-;PoO PoO2;PoCl2 PoCl4;6,8;144;1898;-;-9,7;-;-;-;-;1;;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
85;At;17;VII A;6;Astato;astatine;210;302;337;-;2,2;9,5;-;-;917;-;-;2,8;270;-;-;[Xe] 6s2 4f14 5d10 6p5;[Xe] 6s2 4f14 5d10 6p5;1,43;-;1,45;-;-;-;-;-;-;-;-;7440-68-8;-;-;-;-;1,7;-;-;-;-;Sintético(Th or U decaimento);-;radioativo;-;-;-;-;-;-;-;-;HAt;-;-;6;92;1940;-;-;-;-;-;-;3;;2;1;2;1;;VERDADEIRO;VERDADEIRO;;
86;Rn;18;VIII A;6;Radônio;radon;222;-71;-61,8;0,00973;-;10,7485;-;-;1037;-;-;<0;<0;0;-;[Xe] 6s2 4f14 5d10 6p6;[Xe] 6s2 4f14 5d10 6p6;1,34;-;-;-;-;-;-;-;-;50,5;cúbica: face centrada;10043-92-2;-;0,09;2,89;16,4;0,00364;4E-13;6E-16;-;-;Sintético(Ra-226 decaimento);incolor;radioativo,air pollutant;-;-;earthquake prediction;nenhuma;nenhuma;nenhuma;nenhuma;nenhuma;-;-;-;5,3;0;1900;-;-12,4;-;-;-;-;4;;1;1;2;3;;FALSO;FALSO;;
87;Fr;1;I A;7;Frâncio;francium;223;27;677;-;0,7;3,94;-;-;380;-;-;0,46;44;+1;+1;[Rn] 7s1;[Rn] 7s1;-;-;-;-;-;-;194;-;-;-;cúbica: corpo centrado;7440-73-5;0,03;-;-;-;15;-;-;-;-;Sintético(U-235 decaimento);-;radioativo;-;-;-;-;vigorosa, =>H2, FrOH;vigorosa, =>H2, FrCl;-;vigorosa, =>H2, FrOH;-;-;-;48,7;73;1939;-;-;-;-;-;-;2;1;2;1;1;1;;VERDADEIRO;VERDADEIRO;;
88;Ra;2;II A;7;Rádio;radium;226;700;1140;5;0,9;5,2789;10,148;-;509;979;-;-;-;+2;+2;[Rn] 7s2;[Rn] 7s2;-;1,62;-;-;-;-;-;162;-;45,2;cúbica: corpo centrado;7440-14-4;-;0,12;-;-;18,6;0,0000009;8,9E-11;-;-;pitchblende(U-238 decaimento);branco;radioativo, luminescent;bcc: body-centered cubic;-;neutron source;vigorosa, =>RaO2, Ra3N2;-;-;-;-;-;-;RaCl2;38,3;159;1898;-;-6;-;-;-;-;2;2;1;1;1;1;;VERDADEIRO;VERDADEIRO;;
89;Ac;Actinídeos;III B;7;Actínio;actinium;227;1050;3200;10,1;1,1;5,17;12,126;-;499;1170;-;-;-;+3;+3;[Rn] 7s2 5f1;[Rn] 7s2 5f1;-;-;-;-;-;-;-;-;126;22,54;cúbica: face centrada;7440-34-8;-;-;-;-;12;5,5E-10;-;-;-;Sintético(U-235 decaimento);prateado-branco;radioativo;fcc: face-centered cubic;-;thermoelectric power;branda, w/ht, =>Ac2O3;branda, =>H2, Ac(OH)3;branda, =>H2, AcCl3;branda, =>Ac(NO3)3;-;AcH2;Ac2O3;AcCl3;32,1;385;1899;-;-9,3;-;-;-;-;2;4;1;2;4;1;;VERDADEIRO;VERDADEIRO;;
90;Th;Actinídeos;Actinídeos;7;Tório;thorium;232,0377;1750;4790;11,7;1,3;6,08;11,504;20,003;587;1110;1930;-;-;+4;+4;[Rn] 7s2 5f2;[Rn] 7s2 5f2;-;1,05;1,65;-;-;179;-;-;-;19,9;cúbica: face centrada;7440-29-1;0,0653;0,12;16,1;514,4;54;9,6;0,000001;-;-;Monazite(phosphate),U extractn;branco;radioativo;fcc: face-centered cubic;-;gas mantles (ThO2);branda, =>ThO2;nenhuma;branda;passiva;nenhuma;ThH2 Th4H15;ThO2;ThCl4;32,1;576;1829;-1,474955193;1;-;-;-;-;2;4;1;2;4;1;;VERDADEIRO;VERDADEIRO;;
91;Pa;Actinídeos;Actinídeos;7;Protactínio;protactinium;231,03588;1570;4000;15,4;1,5;5,89;-;-;568;-;-;-;-;+5,4;+5,4;[Rn] 7s2 5f3;[Rn] 7s2 5f3;-;-;-;-;-;163;-;-;118;15;ortorrômbico;7440-13-3;0,0529;0,12;12,3;-;47;0,0000014;5E-11;-;-;Sintético(U-235 decaimento);prateado;radioativo;fcc: face-centered cubic;-;-;-;nenhuma;-;-;nenhuma;PaH3;PaO PaO2 Pa2O5;PaCl4 PaCl5;25,4;527;1917;-;-5,9;-;-;-;-;2;4;1;2;4;1;;VERDADEIRO;VERDADEIRO;;
92;U;Actinídeos;Actinídeos;7;Urânio;uranium;238,02891;1132;3818;19;1,38;6,1941;-;-;598;-;-;-;-;+6,3,4,5;+6,3,4,5;[Rn] 7s2 5f4;[Rn] 7s2 5f4;-;0,81;1,42;-;-;156;-;-;116,5;12,59;ortorrômbico;7440-61-1;0,038;0,12;8,52;477;27,6;2,7;0,0032;0,0000001;-;Uranite (oxide);prateado;radioativo;hcp:hex cls pkd distorted;-;nuclear reactor fuel;branda, =>U3O8;branda (pó);branda, =>H2;passiva;nenhuma;UH3;UO UO2 U2O5 U3O8 UO3;UCl3 UCl4 UCl5 UCl6;27,4;490;1789;-2,045757491;0,4;-;-;-;não;2;4;1;2;4;1;;VERDADEIRO;VERDADEIRO;;
93;Np;Actinídeos;Actinídeos;7;Netúnio;neptunium;237;640;3900;20,2;1,36;6,2657;-;-;605;-;-;-;-;+5,3,4,6;+5,3,4,6;[Rn] 7s2 5f5;[Rn] 7s2 5f5;-;-;-;-;-;155;-;124;115;11,62;ortorrômbico;7439-99-8;0,00822;0,12;5,19;-;6,3;-;-;-;-;Sintético;prateado;radioativo;special:complex;-;-;-;-;-;-;-;NpH2 NpH3;NpO NpO2 Np2O5;NpCl3 NpCl4;24,8;-;1940;-;-;-;-;-;-;2;4;3;2;4;1;;VERDADEIRO;VERDADEIRO;;
94;Pu;Actinídeos;Actinídeos;7;Plutônio;plutonium;244;641;3232;19,8;1,28;6,06;-;-;585;-;-;-;-;+4,3,5,6;+4,3,5,6;[Rn] 7s2 5f6;[Rn] 7s2 5f6;-;-;-;-;-;159;-;-;114;12,32;monoclínico;7440-07-5;0,00666;0,13;2,84;344;6,74;-;-;-;-;Sintético;prateado;radioativo;fcc: face-centered cubic;-;weapon fuel, pacemakers;-;-;-;passiva;-;PuH2 PuH3;PuO Pu2O3 PuO2;PuCl2 PuCl3;24,5;352;1940;-;-;-;-;-;-;2;4;3;2;4;1;;VERDADEIRO;VERDADEIRO;;
95;Am;Actinídeos;Actinídeos;7;Amerício;americium;243;994;2607;13,7;1,3;5,9933;-;-;578;-;-;-;-;+3,4,5,6;+3,4,5,6;[Rn] 7s2 5f7;[Rn] 7s2 5f7;-;-;-;-;-;173;-;-;111,5;17,86;hexagonal;7440-35-9;0,022;0,11;14,4;-;10;-;-;-;-;Sintético;prateado-branco;radioativo;fcc: face-centered cubic;-;smoke detector;-;-;-;-;-;AmH2 AmH3;AmO Am2O3 AmO2;AmCl2 AmCl3;23,3;-;1944;-;-;-;-;-;-;2;4;3;2;4;1;;VERDADEIRO;VERDADEIRO;;
96;Cm;Actinídeos;Actinídeos;7;Cúrio;curium;247;1340;-;13,5;1,3;6,02;-;-;581;-;-;-;-;+3;+3;[Rn] 7s2 5f8;[Rn] 7s2 5f8;-;-;-;-;-;174;-;-;111;18,28;hexagonal;7440-51-9;-;-;15;-;10;-;-;-;-;Sintético;prateado-branco;radioativo;fcc: face-centered cubic;-;thermoelec. pwr, n source;-;-;-;-;-;CmH2;CmO Cm2O3 CmO2;CmCl3;23;-;1944;-;-;-;-;-;-;2;4;3;2;4;;;VERDADEIRO;VERDADEIRO;;
97;Bk;Actinídeos;Actinídeos;7;Berquélio;berkelium;247;986;-;14;1,3;6,23;-;-;601;-;-;-;-;+3,4;+3,4;[Rn] 7s2 5f9;[Rn] 7s2 5f9;-;-;-;-;-;170;-;-;110;-;-;7440-40-6;-;-;-;-;10;-;-;-;-;Sintético;prateado;radioativo;fcc: face-centered cubic;-;-;-;-;-;-;-;-;BkO Bk2O3 BkO2;BkCl3;22,7;-;1949;-;-;-;-;-;-;2;4;3;2;4;;;VERDADEIRO;VERDADEIRO;;
98;Cf;Actinídeos;Actinídeos;7;Califórnio;californium;251;-;-;-;1,3;6,3;-;-;608;-;-;-;-;+3;+3;[Rn] 7s2 5f10;[Rn] 7s2 5f10;-;-;-;-;-;186;-;-;109;-;-;7440-71-3;-;-;-;-;10;-;-;-;-;Sintético;-;radioativo;-;-;neutron source;-;-;-;-;-;-;CfO Cf2O3 CfO2;CfCl3;20,5;-;1949;-;-;-;-;-;-;2;4;3;2;4;;;VERDADEIRO;VERDADEIRO;;
99;Es;Actinídeos;Actinídeos;7;Einstêinio;einsteinium;252;-;-;-;1,3;6,42;-;-;619;-;-;-;-;+3;+3;[Rn] 7s2 5f11;[Rn] 7s2 5f11;-;-;-;-;-;186;-;-;-;-;-;7429-92-7;-;-;-;-;10;-;-;-;-;Sintético;-;radioativo;-;-;-;-;-;-;-;-;-;Es2O3;-;19,7;-;1954;-;-;-;-;-;-;2;4;3;2;4;;;VERDADEIRO;VERDADEIRO;;
100;Fm;Actinídeos;Actinídeos;7;Férmio;fermium;257;-;-;-;1,3;6,5;-;-;627;-;-;-;-;+3;+3;[Rn] 7s2 5f12;[Rn] 7s2 5f12;-;-;-;-;-;-;-;-;-;-;-;7440-72-4;-;-;-;-;10;-;-;-;-;Sintético;-;radioativo;-;-;-;-;-;-;-;-;-;-;-;23,8;-;1954;-;-;-;-;-;-;2;4;3;2;4;;;VERDADEIRO;VERDADEIRO;;
101;Md;Actinídeos;Actinídeos;7;Mendelévio;mendelevium;258;-;-;-;1,3;6,58;-;-;635;-;-;-;-;+3,2;+3,2;[Rn] 7s2 5f13;[Rn] 7s2 5f13;-;-;-;-;-;-;-;-;-;-;-;7440-11-1;-;-;-;-;10;-;-;-;-;Sintético;-;radioativo;-;-;-;-;-;-;-;-;-;-;-;18,2;-;1955;-;-;-;-;-;-;2;4;3;2;4;;;VERDADEIRO;VERDADEIRO;;
102;No;Actinídeos;Actinídeos;7;Nobélio;nobelium;259;-;-;-;1,3;6,65;-;-;642;-;-;-;-;+2,3;+2,3;[Rn] 7s2 5f14;[Rn] 7s2 5f14;-;-;-;-;-;-;-;124;-;-;-;10028-14-5;-;-;-;-;10;-;-;-;-;Sintético;-;radioativo;-;-;-;-;-;-;-;-;-;-;-;17,5;-;1958;-;-;-;-;-;-;2;4;3;2;4;;;VERDADEIRO;VERDADEIRO;;
103;Lr;3;Actinídeos;7;Laurêncio;lawrencium;262;-;-;-;-;-;-;-;-;-;-;-;-;+3;+3;[Rn] 7s2 5f14 6d1;[Rn] 7s2 5f14 6d1;-;-;-;-;-;-;-;-;-;-;-;22537-19-5;-;-;-;-;10;-;-;-;-;Sintético;-;radioativo,few atms made;-;-;-;-;-;-;-;-;-;-;-;-;-;1961;-;-;-;-;-;-;2;4;3;2;4;;;VERDADEIRO;VERDADEIRO;;
104;Rf;4;IV B;7;Rutherfórdio;rutherfordium;267;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[Rn] 7s2 5f14 6d2;[Rn] 7s2 5f14 6d2;-;-;-;-;-;-;-;-;-;-;-;53850-36-5;-;-;-;-;23;-;-;-;-;Sintético;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;3;3;3;;;VERDADEIRO;VERDADEIRO;;
105;Db;5;V B;7;Dúbnio;dubnium;268;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[Rn] 7s2 5f14 6d3;[Rn] 7s2 5f14 6d3;-;-;-;-;-;-;-;-;-;-;-;53850-35-4;-;-;-;-;58;-;-;-;-;Sintético;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;3;3;3;;;VERDADEIRO;VERDADEIRO;;
106;Sg;6;VI B;7;Seabórgio;seaborgium;271;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[Rn] 7s2 5f14 6d4;[Rn] 7s2 5f14 6d4;-;-;-;-;-;-;-;-;-;-;-;54038-81-2;-;-;-;-;-;-;-;-;-;Sintético;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;3;3;3;;;VERDADEIRO;VERDADEIRO;;
107;Bh;7;VII B;7;Bóhrio;bohrium;272;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[Rn] 7s2 5f14 6d5;[Rn] 7s2 5f14 6d5;-;-;-;-;-;-;-;-;-;-;-;54037-14-8;-;-;-;-;-;-;-;-;-;Sintético;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;3;3;3;;;VERDADEIRO;VERDADEIRO;;
108;Hs;8;VIII B;7;Hássio;hassium;270;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[Rn] 7s2 5f14 6d6;[Rn] 7s2 5f14 6d6;-;-;-;-;-;-;-;-;-;-;-;54037-57-9;-;-;-;-;-;-;-;-;-;Sintético;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;3;3;3;;;VERDADEIRO;VERDADEIRO;;
109;Mt;9;VIII B;7;Meitnério;meitnerium;276;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[Rn] 7s2 5f14 6d7;[Rn] 7s2 5f14 6d7;-;-;-;-;-;-;-;-;-;-;-;54038-01-6;-;-;-;-;-;-;-;-;-;Sintético;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;3;3;3;;;VERDADEIRO;VERDADEIRO;;
110;Ds;10;VIII B;7;Darmstácio;darmstadtium;281;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[Rn] 7s2 5f14 6d8;[Rn] 7s2 5f14 6d8;-;-;-;-;-;-;-;-;-;-;-;54083-77-1;-;-;-;-;-;-;-;-;-;Sintético;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;3;3;3;;;VERDADEIRO;VERDADEIRO;;
111;Rg;11;I B;7;Roentgênio;roentgentium;280;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[Rn] 7s2 5f14 6d9;[Rn] 7s2 5f14 6d9;-;-;-;-;-;-;-;-;-;-;-;54386-24-2;-;-;-;-;-;-;-;-;-;Sintético;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;3;3;3;;;VERDADEIRO;VERDADEIRO;;
112;Cn;12;II B;7;Copernício;copernicum;285;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[Rn] 7s2 5f14 6d10;[Rn] 7s2 5f14 6d10;-;-;-;-;-;-;-;-;-;-;-;54084-26-3;-;-;-;-;-;-;-;-;-;Sintético;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;3;3;3;;;VERDADEIRO;VERDADEIRO;;
113;Nh;13;III A;7;Niônio;nihonium;284;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[Rn] 7s2 5f14 6d10 7p1;[Rn] 7s2 5f14 6d10 7p1;-;-;-;-;-;-;-;-;-;-;-;54084-70-7;-;-;-;-;-;-;-;-;-;Sintético;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;6;3;1;2;;;VERDADEIRO;VERDADEIRO;;
114;Fl;14;IV A;7;Fleróvio;flerovium;289;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[Rn] 7s2 5f14 6d10 7p2;[Rn] 7s2 5f14 6d10 7p2;-;-;-;-;-;-;-;-;-;-;-;54085-16-4;-;-;-;-;-;-;-;-;-;Sintético;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;6;3;1;2;;;VERDADEIRO;VERDADEIRO;;
115;Mc;15;V A;7;Moscóvio;moscovium;288;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[Rn] 7s2 5f14 6d10 7p3;[Rn] 7s2 5f14 6d10 7p3;-;-;-;-;-;-;-;-;-;-;-;54085-64-2;-;-;-;-;-;-;-;-;-;Sintético;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;6;3;1;2;;;VERDADEIRO;VERDADEIRO;;
116;Lv;16;VI A;7;Livermório;livermorium;293;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[Rn] 7s2 5f14 6d10 7p4;[Rn] 7s2 5f14 6d10 7p4;-;-;-;-;-;-;-;-;-;-;-;54100-71-9;-;-;-;-;-;-;-;-;-;Sintético;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;6;3;1;2;;;VERDADEIRO;VERDADEIRO;;
117;Ts;17;VII A;7;Tenessínio;tennessine;292;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[Rn] 7s2 5f14 6d10 7p5;[Rn] 7s2 5f14 6d10 7p5;-;-;-;-;-;-;-;-;-;-;-;87658-56-8;-;-;-;-;-;-;-;-;-;Sintético;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;;3;1;2;;;VERDADEIRO;VERDADEIRO;;
118;Og;18;VIII A;7;Oganessônio;oganesson;294;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[Rn] 7s2 5f14 6d10 7p6;[Rn] 7s2 5f14 6d10 7p6;-;-;-;-;-;-;-;-;-;-;-;54144-19-3;-;-;-;-;-;-;-;-;-;Sintético;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;;3;1;2;;;VERDADEIRO;VERDADEIRO;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fonte: http://mrbigler.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
