Número atômico;Símbolo;1-Grupo;2-Grupo antigo;3-Período;4-Nome;6-Massa atômica
1;H;1;I A;1;Hidrogęnio;1,007975
2;He;18;VIII A;1;Hélio;4,002602
3;Li;1;I A;2;Lítio;6,9675
4;Be;2; II A ;2;Berílio;9,0121831
5;B;13;III A;2;Boro;10,8135
6;C;14;IV A;2;Carbono;12,0106
7;N;15;V A;2;Nitrogęnio;14,006855
8;O;16;VI A;2;Oxigęnio;15,9994
9;F;17;VII A;2;Flúor;18,99840316
10;Ne;18;VIII A;2;Neônio;20,1797
11;Na;1;I A;3;Sódio;22,98976928
12;Mg;2;II A;3;Magnésio;24,3055
13;Al;13;III A;3;Alumínio;26,9815385
14;Si;14;IV A;3;Silício;28,085
15;P;15;V A;3;Fósforo;30,973762
16;S;16;VI A;3;Enxofre;32,0675
17;Cl;17;VII A;3;Cloro;35,4515
18;Ar;18;VIII A;3;Argônio;39,948
19;K;1;I A;4;Potássio;39,0983
20;Ca;2;II A;4;Cálcio;40,078
21;Sc;3;III B;4;Escândio;44,955908
22;Ti;4;IV B;4;Titânio;47,867
23;V;5;V B;4;Vanádio;50,9415
24;Cr;6;VI B;4;Cromo;51,9961
25;Mn;7;VII B;4;Manganęs;54,938044
26;Fe;8;VIII B;4;Ferro;55,845
27;Co;9;VIII B;4;Cobalto;58,933194
28;Ni;10;VIII B;4;Níquel;58,6934
29;Cu;11;I B;4;Cobre;63,546
30;Zn;12;II B;4;Zinco;65,38
31;Ga;13;III A;4;Gálio;69,723
32;Ge;14;IV A;4;Germânio;72,63
33;As;15;V A;4;Arsęnio;74,921595
34;Se;16;VI A;4;Selęnio;78,971
35;Br;17;VII A;4;Bromo;79,904
36;Kr;18;VIII A;4;Criptônio;83,798
37;Rb;1;I A;5;Rubídio;85,4678
38;Sr;2;II A;5;Estrôncio;87,62
39;Y;3;III B;5;Ítrio;88,90584
40;Zr;4;IV B;5;Zircônio;91,224
41;Nb;5;VI B;5;Nióbio;92,90637
42;Mo;6;VI B;5;Molibdęnio;95,95
43;Tc;7;VII B;5;Tecnécio;98
44;Ru;8;VIII B;5;Rutęnio;101,07
45;Rh;9;VIII B;5;Ródio;102,9055
46;Pd;10;VIII B;5;Paládio;106,42
47;Ag;11;I B;5;Prata;107,8682
48;Cd;12;II B;5;Cádmio;112,414
49;In;13;III A;5;Índio;114,818
50;Sn;14;IV A;5;Estanho;118,71
51;Sb;15;V A;5;Antimônio;121,76
52;Te;16;VI A;5;Telúrio;127,6
53;I;17;VII A;5;Iodo;126,90447
54;Xe;18;VIII A;5;Xenônio;131,293
55;Cs;1;I A;6;Césio;132,905452
56;Ba;2;II A;6;Bário;137,327
57;La;Lantanídeos;III B;6;Lantânio;138,90547
58;Ce;Lantanídeos;Lantanídeos;6;Cério;140,116
59;Pr;Lantanídeos;Lantanídeos;6;Praseodímio;140,90766
60;Nd;Lantanídeos;Lantanídeos;6;Neodímio;144,242
61;Pm;Lantanídeos;Lantanídeos;6;Promécio;145
62;Sm;Lantanídeos;Lantanídeos;6;Samário;150,36
63;Eu;Lantanídeos;Lantanídeos;6;Európio;151,964
64;Gd;Lantanídeos;Lantanídeos;6;Gadolínio;157,25
65;Tb;Lantanídeos;Lantanídeos;6;Térbio;158,92535
66;Dy;Lantanídeos;Lantanídeos;6;Disprósio;162,5
67;Ho;Lantanídeos;Lantanídeos;6;Hólmio;164,93033
68;Er;Lantanídeos;Lantanídeos;6;Érbio;167,259
69;Tm;Lantanídeos;Lantanídeos;6;Túlio;168,93422
70;Yb;Lantanídeos;Lantanídeos;6;Itérbio;173,054
71;Lu;3;Lantanídeos;6;Lutécio;174,9668
72;Hf;4;IV B;6;Háfnio;178,49
73;Ta;5;V B;6;Tântalo;180,94788
74;W;6;VI B;6;Tungstęnio;183,84
75;Re;7;VII B;6;Ręnio;186,207
76;Os;8;VIII B;6;Ósmio;190,23
77;Ir;9;VIII B;6;Iridio;192,217
78;Pt;10;VIII B;6;Platina;195,084
79;Au;11;I B;6;Ouro;196,966569
80;Hg;12;II B;6;Mercúrio;200,592
81;Tl;13;III A;6;Tálio;204,3835
82;Pb;14;IV A;6;Chumbo;207,2
83;Bi;15;V A;6;Bismuto;208,9804
84;Po;16;VI A;6;Polônio;209
85;At;17;VII A;6;Astato;210
86;Rn;18;VIII A;6;Radônio;222
87;Fr;1;I A;7;Frâncio;223
88;Ra;2;II A;7;Rádio;226
89;Ac;Actinídeos;III B;7;Actínio;227
90;Th;Actinídeos;Actinídeos;7;Tório;232,0377
91;Pa;Actinídeos;Actinídeos;7;Protactínio;231,03588
92;U;Actinídeos;Actinídeos;7;Urânio;238,02891
93;Np;Actinídeos;Actinídeos;7;Netúnio;237
94;Pu;Actinídeos;Actinídeos;7;Plutônio;244
95;Am;Actinídeos;Actinídeos;7;Amerício;243
96;Cm;Actinídeos;Actinídeos;7;Cúrio;247
97;Bk;Actinídeos;Actinídeos;7;Berquélio;247
98;Cf;Actinídeos;Actinídeos;7;Califórnio;251
99;Es;Actinídeos;Actinídeos;7;Einstęinio;252
100;Fm;Actinídeos;Actinídeos;7;Férmio;257
101;Md;Actinídeos;Actinídeos;7;Mendelévio;258
102;No;Actinídeos;Actinídeos;7;Nobélio;259
103;Lr;3;Actinídeos;7;Lauręncio;262
104;Rf;4;IV B;7;Rutherfórdio;267
105;Db;5;V B;7;Dúbnio;268
106;Sg;6;VI B;7;Seabórgio;271
107;Bh;7;VII B;7;Bóhrio;272
108;Hs;8;VIII B;7;Hássio;270
109;Mt;9;VIII B;7;Meitnério;276
110;Ds;10;VIII B;7;Darmstácio;281
111;Rg;11;I B;7;Roentgęnio;280
112;Cn;12;II B;7;Copernício;285
113;Nh;13;III A;7;Niônio;284
114;Fl;14;IV A;7;Fleróvio;289
115;Mc;15;V A;7;Moscóvio;288
116;Lv;16;VI A;7;Livermório;293
117;Ts;17;VII A;7;Tenessínio;292
118;Og;18;VIII A;7;Oganessônio;294

